PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
67,2024-05-21,19:38:59.33,4,4,"Sharts, Owen",680714,Right,IDA_CHU,1000067102,Left,MIS_PAD,Undefined,2,Top,2,2,1,Undefined,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.94267,-1.421826,-2.261284,2217.932131,100.832023,9:15,5.83086,1.77872,5.954,-38.59085,2.33028,-4.95406,1.2951,-0.73225,75.73444,-8.533295,-3.151957,0.46041,,,,,,,,,,,,1.86646,1.9952,-1.59615,50,5.69611,4.93978,-120.32941,-4.23324,2.70618,25.76628,-29.28121,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,1018a7f0-17dc-11ef-ab2f-7369b7622ec5,81.86705,,,7.20823,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:38:59.33,2024-05-21T19:38:59.3330000-06:00,2024-05-22T01:38:59.3330000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,48cfbc2d-155c-4148-b422-87c312e2e7d6,54.54399,-121.29852,12.88314,5.83462,-3.13194,-14.6406,-1.78003,4.838,1.35309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
68,2024-05-21,19:39:21.34,4,5,"Sharts, Owen",680714,Right,IDA_CHU,1000067102,Left,MIS_PAD,Undefined,2,Top,2,2,2,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.85475,-2.012064,-1.767339,2109.405575,177.67045,12:00,5.89578,1.64533,6.32694,-15.19973,19.63399,-0.75346,2.77466,-0.04546,81.24314,-4.93957,-1.903576,0.424787,,,,,,,,,,,,-0.10272,11.13634,-1.51606,50,5.74152,4.01154,-129.05129,-4.9187,-0.17308,27.08621,-13.4107,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,1d17fcd0-17dc-11ef-ab2f-7369b7622ec5,88.73251,,,7.61162,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:39:21.34,2024-05-21T19:39:21.3440000-06:00,2024-05-22T01:39:21.3440000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,7f04ee51-34f1-4914-820a-fd8d113f9c28,54.1701,-129.9236,13.54311,5.89297,-4.48681,-6.70535,-1.64534,4.01711,-0.08654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
69,2024-05-21,19:39:45.17,4,6,"Sharts, Owen",680714,Right,IDA_CHU,1000067102,Left,MIS_PAD,Undefined,2,Top,2,2,2,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.41726,-0.329473,-2.369811,1864.760957,197.68413,12:30,5.9678,1.53697,6.41155,-18.42627,16.47391,4.9163,4.1291,-0.23335,81.06785,-3.846895,-1.479942,0.425192,,,,,,,,,,,,-3.18122,9.00241,-1.36956,50,5.93549,5.12297,-128.48954,-1.23289,-5.34076,25.56952,-17.06054,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,2b602560-17dc-11ef-ab2f-7369b7622ec5,88.648,,,7.34941,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:39:45.17,2024-05-21T19:39:45.1700000-06:00,2024-05-22T01:39:45.1700000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,bc4ae1ad-d3ef-4150-94c3-62c7c6274fc7,54.08452,-129.29981,12.78476,5.966,-0.69226,-8.53027,-1.53458,5.29221,-2.67038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
70,2024-05-21,19:40:05.31,4,7,"Sharts, Owen",680714,Right,IDA_CHU,1000067102,Left,MIS_PAD,Undefined,2,Top,2,3,2,Undefined,Slider,InPlay,Undefined,LineDrive,Single,0,0,,82.49368,0.23375,-0.727605,2051.320652,107.001469,9:30,5.83331,1.70212,5.83678,-37.21656,3.44713,-7.58859,2.9492,0.39345,76.46943,-6.607595,-2.089184,0.45896,101.99295,7.184056,4.288038,2666.091069,109.6947,8.77046,8.18738,194.57135,190.88673,4.400491,1.487175,3.73461,2.01697,-1.63818,50,5.8301,1.81186,-120.01089,-0.72836,5.50191,21.01539,-29.20258,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,37435be0-17dc-11ef-ab2f-7369b7622ec5,82.12578,9.01044,,6.02425,,,,1.34696,2.98121,-0.41473,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:40:05.31,2024-05-21T19:40:05.3190000-06:00,2024-05-22T01:40:05.3190000Z,LineDrive,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,385f464e-502a-4e70-881e-666fff7d9999,54.66318,-120.82471,10.50769,5.83641,0.40251,-14.60129,-1.70422,1.5988,2.75096,205.036942,1.34696,147.99987,-15.50448,2.74729,-0.54989,0.07698,-0.00499,-0.00124,0.00033,2.98121,18.70708,-15.00279,0.80823,-0.08217,0.02165,-0.00501,0.00164,-0.00028,-0.41473,11.09673,0.26852,-0.87052,0.3111,-0.06866,0.00709,0.00131,-0.00041,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
71,2024-05-21,19:41:49.41,5,1,"Sharts, Owen",680714,Right,IDA_CHU,1000058020,Right,MIS_PAD,Undefined,2,Top,2,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.8667,-2.424008,-1.862107,2019.284887,208.545281,1:00,5.84532,1.73998,6.40932,-18.77233,16.41072,8.37115,2.04975,0.7249,81.19058,-5.978565,-0.34514,0.426912,,,,,,,,,,,,-4.84107,9.50764,-1.61042,50,5.66297,3.83225,-127.7107,-5.92266,-8.07303,23.90708,-16.31902,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,755a2260-17dc-11ef-ab2f-7369b7622ec5,88.29091,,,6.67612,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:41:49.41,2024-05-21T19:41:49.4140000-06:00,2024-05-22T01:41:49.4140000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,cdb698af-b79e-4b02-b830-ec7aab5a08e0,54.08873,-128.47382,11.95354,5.84371,-5.40176,-8.15951,-1.73686,4.08994,-4.03652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
72,2024-05-21,19:42:32.96,5,2,"Sharts, Owen",680714,Right,IDA_CHU,1000058020,Right,MIS_PAD,Undefined,2,Top,2,0,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,,87.60239,-2.344864,-1.898591,1998.244363,205.75063,12:45,5.88234,1.71587,6.38739,-18.56552,17.02749,7.68874,2.176,0.60962,80.5555,-5.873482,-0.506033,0.429392,95.41236,-10.210829,-15.244742,,,,,11.83122,11.83122,-16.205171,0.077691,-4.53067,9.85693,-1.5828,50,5.70486,3.92648,-127.27565,-5.71615,-7.46423,25.05755,-15.93491,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,8f5a52c0-17dc-11ef-ab2f-7369b7622ec5,87.78098,1.92978,,7.04689,,,,1.0245,1.92978,-0.48476,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:42:32.96,2024-05-21T19:42:32.9640000-06:00,2024-05-22T01:42:32.9640000Z,GroundBall,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,641e41fa-4dcf-4fa9-9acf-e25573d59fec,54.11056,-128.08237,12.52878,5.88063,-5.20314,-7.96745,-1.71307,4.16679,-3.73212,180.0,1.02234,133.04852,,,,,,,,1.93018,-24.83923,,,,,,,,-0.48417,-36.26007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
73,2024-05-21,19:43:05.31,6,1,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,2,Top,2,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.41811,-3.527912,-2.418421,2134.079641,193.515266,12:30,5.90161,1.8255,6.32427,-15.02674,20.17666,4.58087,1.39348,-0.02124,81.11944,-6.409859,-1.590499,0.427035,,,,,,,,,,,,-3.05614,11.83166,-1.65105,50,5.63631,5.23922,-128.24208,-8.2917,-5.09906,26.05475,-12.43351,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,a29480e0-17dc-11ef-ab2f-7369b7622ec5,88.26542,,,7.29867,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:43:05.31,2024-05-21T19:43:05.3160000-06:00,2024-05-22T01:43:05.3160000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,4e0de155-c24a-4d9c-a1b9-c5caf4e9cee8,54.17356,-129.08723,13.02737,5.89873,-7.88839,-6.21675,-1.82368,5.40462,-2.54953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
74,2024-05-21,19:43:21.33,6,2,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,2,Top,2,1,0,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.32385,-1.626021,-2.030174,2076.534151,192.315596,12:30,5.89706,1.58831,6.31585,-15.07548,19.95021,4.1276,3.14177,0.06159,81.23086,-4.522426,-1.284102,0.425956,81.55673,40.677401,-59.581561,4299.36922,48.67664,70.97035,-98.64372,266.22565,198.86251,-69.328118,4.333071,-2.6765,11.13528,-1.44169,50,5.77058,4.38913,-128.36549,-4.02588,-4.49511,24.94272,-13.47273,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,ac19a320-17dc-11ef-ab2f-7369b7622ec5,88.48905,77.75629,,7.09299,,,,0.03646,3.00203,0.02297,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:43:21.33,2024-05-21T19:43:21.3340000-06:00,2024-05-22T01:43:21.3340000Z,FlyBall,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,8a46938d-db1c-4cce-9c10-34f985f5d467,54.18167,-129.17547,12.47136,5.89421,-3.58837,-6.73637,-1.58659,4.5351,-2.24755,132.62744,0.03719,45.91262,-10.71053,2.37642,-0.43491,0.04507,-0.00272,9e-05,2e-05,3.0025,77.95088,-23.81352,2.35721,-0.28041,-0.06536,0.04179,-0.00809,0.00055,0.02001,-78.15666,6.62041,-0.27912,-0.47911,0.28937,-0.07828,0.01063,-0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
75,2024-05-21,19:43:41.16,6,3,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,2,Top,2,1,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.61402,1.476709,-1.114075,1934.476241,169.750564,11:45,5.97236,1.68377,6.03618,-19.98348,16.77493,-2.84319,5.67497,0.41514,79.56192,-2.30571,-1.625334,0.436365,,,,,,,,,,,,1.16764,8.56969,-1.59543,50,6.07654,2.56432,-125.86787,2.67114,1.88854,23.58249,-18.31325,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,b7e3fa70-17dc-11ef-ab2f-7369b7622ec5,86.37828,,,7.05211,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:43:41.16,2024-05-21T19:43:41.1690000-06:00,2024-05-22T01:43:41.1690000Z,,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,c281f11f-740f-4412-9e2a-a1f6d7038c58,54.45935,-126.70061,11.79124,5.97079,3.31782,-9.15662,-1.6848,2.49763,0.94427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
76,2024-05-21,19:43:58.69,6,4,"Sharts, Owen",680714,Right,IDA_CHU,1000092665,Left,MIS_PAD,Undefined,2,Top,2,2,1,Undefined,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,86.69047,-1.47578,-2.553283,2021.972653,180.286888,12:00,5.86166,1.61088,6.18821,-18.00233,18.69966,0.08795,2.99724,-0.74076,79.49829,-4.903835,-2.537436,0.43603,89.40331,-10.217807,40.032785,,,,,16.58865,16.16597,38.788852,0.120171,-0.73945,10.45099,-1.41842,50,5.74113,5.61031,-125.88851,-3.73433,-1.18931,25.0195,-15.36509,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,c2724f50-17dc-11ef-ab2f-7369b7622ec5,86.44465,2.96819,,7.19218,,,,1.38964,2.96819,0.53505,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:43:58.69,2024-05-21T19:43:58.6930000-06:00,2024-05-22T01:43:58.6930000Z,GroundBall,v3,444,518,,"Barham, Robbie",1000334145.0,Right,IDA_CHU,b4232b9c-5cfd-4f56-8dc5-647ee44cd4c1,54.30931,-126.74206,12.50975,5.85958,-3.21014,-7.68254,-1.61051,5.65088,-0.59466,277.921966,1.39006,98.76073,-22.74462,,,,,,,2.96827,-23.26965,-11.912,,,,,,,0.53511,82.99768,-8.10892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
77,2024-05-21,19:45:58.28,1,1,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.6779,2.356144,-2.24898,2258.882659,63.502219,8:00,5.75139,3.22647,5.68491,-51.49349,-2.52165,-7.89331,3.65929,0.47141,69.84839,-7.060418,-3.657931,0.503668,,,,,,,,,,,,3.41382,-1.44591,-3.03217,50,5.91756,4.60434,-109.86037,2.89314,4.19466,18.48075,-33.95068,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,0a0907f0-17dd-11ef-ab2f-7369b7622ec5,74.83582,,,5.82951,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:45:58.28,2024-05-21T19:45:58.2888814-06:00,2024-05-22T01:45:58.2888814Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,81ae0760-22a2-41a8-abec-2e31cb58c035,54.81444,-110.66729,9.24037,5.75887,4.37553,-16.97534,-3.22921,4.42119,2.09733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
78,2024-05-21,19:46:11.08,1,2,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.5275,-2.501187,-5.637418,2134.174756,226.187093,1:30,5.89328,2.91041,6.09473,-19.84879,14.24209,13.70024,1.91311,-1.17894,82.82205,-6.238411,-3.186359,0.420234,,,,,,,,,,,,-8.63882,8.36945,-2.48231,50,5.68918,12.35596,-130.87523,-6.35276,-15.00796,27.19531,-17.63402,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,114c7790-17dd-11ef-ab2f-7369b7622ec5,89.69403,,,7.70545,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:46:11.08,2024-05-21T19:46:11.0805870-06:00,2024-05-22T01:46:11.0805870Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,f967691a-af24-4f28-8e7d-1fb781ba0caa,54.40359,-131.78711,13.59765,5.89227,-5.76149,-8.81701,-2.90505,12.85918,-7.50398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
79,2024-05-21,19:46:25.25,1,3,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,2,0,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.79665,-1.084612,-4.077194,2070.111504,250.44437,2:15,5.49882,3.4397,6.07452,-34.18903,7.42867,17.14784,1.64351,1.0898,74.97023,-7.430806,-0.994757,0.464313,,,,,,,,,,,,-10.07434,4.50555,-3.13327,50,5.39639,7.82534,-118.61869,-3.29199,-14.33661,22.9404,-25.76225,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,19f7b490-17dd-11ef-ab2f-7369b7622ec5,81.17899,,,6.82642,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:46:25.25,2024-05-21T19:46:25.2500334-06:00,2024-05-22T01:46:25.2500334Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,a382e499-d4bc-421f-b8e6-ff39a9a95e1d,54.42494,-119.47139,11.4702,5.50096,-2.3344,-12.88113,-3.43405,8.35824,-7.1683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
80,2024-05-21,19:46:37.01,1,4,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,3,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.93242,-1.520318,-3.422648,2193.755917,232.102804,1:45,5.91335,2.88437,5.98077,-21.0843,13.29174,15.70993,2.74429,1.01728,82.48356,-5.477548,-0.603219,0.421987,,,,,,,,,,,,-8.98036,7.55945,-2.62242,50,5.78133,7.14522,-130.49116,-4.13873,-15.546,26.43679,-19.08778,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,20bddde0-17dd-11ef-ab2f-7369b7622ec5,89.32129,,,7.44886,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:46:37.01,2024-05-21T19:46:37.0173294-06:00,2024-05-22T01:46:37.0173294Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,0848e01f-ba1e-4623-aba1-501340409503,54.51735,-131.40316,13.2184,5.91275,-3.48025,-9.54389,-2.87816,7.68151,-7.773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
81,2024-05-21,19:46:49.70,1,5,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,3,1,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.66264,-0.299166,-4.310693,2077.436445,249.344681,2:15,5.56722,3.45104,5.99736,-34.37207,8.38209,18.72879,2.42488,1.00986,74.1021,-6.675155,-0.951898,0.470609,,,,,,,,,,,,-10.86178,4.76477,-3.12188,50,5.52452,8.13166,-116.9923,-1.65581,-15.10638,21.35377,-25.54725,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,286f78a0-17dd-11ef-ab2f-7369b7622ec5,80.09284,,,6.56054,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:46:49.70,2024-05-21T19:46:49.7086318-06:00,2024-05-22T01:46:49.7086318Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,edbc1d4b-60de-4707-8222-a372ef2f55c1,54.50243,-117.81123,10.67688,5.56924,-0.67606,-12.77363,-3.44485,8.711,-7.55319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
82,2024-05-21,19:47:06.41,1,6,"Villa, Alfredo",1000135230,Right,MIS_PAD,681200,Right,IDA_CHU,Undefined,2,Bottom,0,3,2,Undefined,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.13505,0.875347,-3.959872,2067.592146,205.285757,12:45,6.00335,3.03012,5.86084,-16.34107,18.09127,8.05134,5.4568,0.01648,82.3587,-2.235177,-2.521666,0.422333,,,,,,,,,,,,-5.15229,9.31705,-2.71323,50,6.06489,8.6961,-130.66455,1.52671,-8.94308,26.5015,-16.00196,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,323b19c0-17dd-11ef-ab2f-7369b7622ec5,89.24822,,,7.77635,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:47:06.41,2024-05-21T19:47:06.4195950-06:00,2024-05-22T01:47:06.4195950Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,a079e3f4-d14e-4085-8724-96cc7814c204,54.63538,-131.60135,13.25075,6.00093,2.09235,-8.00098,-3.02621,9.01222,-4.47154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
83,2024-05-21,19:47:33.83,2,1,"Villa, Alfredo",1000135230,Right,MIS_PAD,1000131951,Left,IDA_CHU,Undefined,2,Bottom,0,0,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.60898,-1.993865,-3.474282,2105.182976,214.749001,1:15,5.85256,3.30669,6.28401,-18.45151,16.19489,10.57237,2.47323,0.98185,82.17692,-5.474604,-1.567082,0.423643,,,,,,,,,,,,-6.33229,9.20556,-3.05545,50,5.69614,7.40586,-128.7147,-5.01642,-10.78719,22.85283,-16.4922,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,429e8130-17dd-11ef-ab2f-7369b7622ec5,88.97213,,,6.43206,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:47:33.83,2024-05-21T19:47:33.8313582-06:00,2024-05-22T01:47:33.8313582Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,84a5e2aa-707e-49a5-a604-7b966e938b52,54.21528,-129.46095,11.42641,5.85116,-4.47788,-8.2461,-3.30303,7.7581,-5.3936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
84,2024-05-21,19:47:46.94,2,2,"Villa, Alfredo",1000135230,Right,MIS_PAD,1000131951,Left,IDA_CHU,Undefined,2,Bottom,0,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,88.63843,-1.47904,-3.507195,2065.956286,223.08227,1:30,5.85,3.34152,5.80945,-19.82824,15.69363,13.67713,2.81941,1.21588,81.49944,-5.199853,-1.061571,0.428962,,,,,,,,,,,,-7.88473,8.72225,-3.06195,50,5.71671,7.30575,-128.60094,-3.94993,-13.30192,24.82265,-17.45919,IDA_CHU,MIS_PAD,MelaleucaField,Pioneer League,PIO,20240521-MelaleucaField-1,4a6db610-17dd-11ef-ab2f-7369b7622ec5,87.86885,,,7.13899,,,,,,,6933e1d9-9ce5-4c01-8d2b-ec83379e44c8,2024-05-22,01:47:46.94,2024-05-21T19:47:46.9467502-06:00,2024-05-22T01:47:46.9467502Z,,v3,444,518,,"Navarro, Luis",1000135225.0,Right,MIS_PAD,bd738909-7038-435a-b59e-d14862419a82,54.68862,-129.50278,12.41132,5.84869,-3.31562,-8.7296,-3.33616,7.78902,-6.65096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
